"","P_cor"
"GRB2","0.380661809204053"
"GSK3B","0.323971670005898"
"HES1","0.065237996633628"
"HES5","0.0450492662060494"
"HEY1","0.315473846709885"
"HEY2","0.441613051437801"
"HEYL","0.365002157476755"
"HRAS","0.160318033982815"
"IGF1R","0.0996696589302413"
"IGF1","0"
"JAG1","0.269033549548682"
"JAG2","0.479738021566193"
"JUN","0"
"KIT","0"
"LEF1","0.48577158066428"
"LRP5","0.336342667534752"
"LRP6","0.336057332800655"
"MAP2K1","0.056526798567875"
"MAP2K2","0"
"MAPK1","0.00763478277443308"
"MAPK3","0.141324885939295"
"MTOR","0.0350391432420483"
"MYC","0.432561017543513"
"NCOA1","0.331524117514611"
"NCOA3","0"
"NFKB2","0.215894410638573"
"NOTCH1","0.299242033569585"
"NOTCH2","0.0790201045403205"
"NOTCH3","0.0203565939506637"
"NOTCH4","0"
"NRAS","0.174761739601286"
"PGR","0.0730089972265345"
"PIK3CB","0.118091003863634"
"PIK3CD","0"
"PIK3R1","0.507903349067896"
"PIK3R2","0"
"PIK3R3","0.399092538353235"
"POLK","0.21924979306647"
"RAF1","0.0287358748657175"
"RB1","0.141712638435069"
"RPS6KB1","0.0597340743084303"
"RPS6KB2","0.383160478780067"
"SHC1","0.273194573283674"
"SHC2","0.274987071037365"
"SHC3","0.227402015965886"
"SHC4","0.249753819422594"
"SOS1","0.289667704639534"
"SOS2","0.378046699633259"
"SP1","0.176527363436355"
"TCF7L1","0.473423829433668"
"TCF7L2","0"
"TCF7","0.34824840628411"
"TNFSF11","0.0927844868780692"
"WNT10A","0.0926309383640322"
"WNT10B","0"
"WNT11","0.370301632004579"
"WNT16","0.038762165533032"
"WNT1","0.284543942605595"
"WNT2B","0.240382901980003"
"WNT2","0.338691769563181"
"WNT3A","0.0715556662129177"
"WNT3","0.136681274565461"
"WNT4","0.0430530497733352"
"WNT5A","0.108004213525221"
"WNT5B","0.349253407658385"
"WNT6","0.250278950638704"
"WNT7A","0.0292125069750742"
"WNT7B","0.345288998729765"
"WNT8A","0.249331547129696"
"WNT8B","0.142850599343683"
"WNT9A","0.023574177465875"
"WNT9B","0.288211625299648"
"ATF3","0"
"BATF","0.221178236909375"
"BCL11A","0"
"BCL3","0.400742059795122"
"BCLAF1","0.0409158744029091"
"BDP1","0"
"BHLHE40","0.131324103517108"
"BRF1","0"
"BRF2","0.11386873228565"
"CCNT2","0.0435483969927"
"CEBPB","0.214395008125232"
"CHD2","0"
"CTBP2","0.31726765517132"
"CTCFL","0.143533578905808"
"CTCF","0.161028884609489"
"E2F4","0.173951691673441"
"E2F6","0.105183062910474"
"EBF1","0"
"EGR1","0"
"ELF1","0.00108813213351589"
"ELK4","0.111717436447394"
"EP300","0.0303790403426036"
"ESRRA","0.0290786501437213"
"ETS1","0.32588529316069"
"FOSL1","0.157516502127126"
"FOSL2","0.0416934052772824"
"FOXA1","0.291203421448868"
"FOXA2","0.0817283690100361"
"GABPA","0"
"GATA1","0.146094488265155"
"GATA2","0.0932189178089676"
"GATA3","0"
"GTF2B","0.0682039039210429"
"GTF2F1","0.0575662822456182"
"HDAC2","0.2856240898763"
"HMGN3","0.361313075633234"
"HNF4A","0.0620433384314409"
"HNF4G","0"
"HSF1","0.216027062057817"
"IRF1","0.206533344947703"
"IRF3","0.105177006961468"
"IRF4","0.254644840410174"
"JUND","0.373360782302828"
"KAT2A","0.0165200540048264"
"MAFF","0.484954331438534"
"MAFK","0.325382010643727"
"MAX","0.147800241199403"
"MEF2A","0.283148963961992"
"MEF2C","0"
"MXI1","0.465443986120095"
"NANOG","0.120244806623836"
