"","Ridge"
"CDC42BPA","0"
"CDCA7","0"
"COL4A2","0"
"DCK","0"
"DIAPH3","0.413168390085083"
"DTL","0.497945106181333"
"EBF4","0"
"ECT2","0.480833070957315"
"EGLN1","0"
"ESM1","0.567561635322616"
"EXT1","0"
"FGF18","0"
"FLT1","0"
"GMPS","0.420100649172037"
"GNAZ","0"
"GPR126","0"
"GPR180","0"
"GSTM3","0"
"IGFBP5","0"
"JHDM1D","0"
"LIN9","0"
"MCM6","0.37239174219426"
"MMP9","0.407202316546284"
"MS4A7","0"
"MTDH","0"
"NUSAP1","0.485650249952592"
"ORC6L","0.391100612778874"
"OXCT1","0"
"PALM2","0"
"PECI","0"
"PITRM1","0"
"PRC1","0.47998823456948"
"RAB6B","0.445213394161888"
"RASSF7","0"
"RECQL5","0"
"RFC4","0"
"RTN4RL1","0"
"RUNDC1","0"
"SCUBE2","0"
"SERF1A","0"
"SLC2A3","0"
"STK32B","0"
"TGFB3","0"
"TSPYL5","0"
"UCHL5","0.444669395012442"
"AKT2","0"
"AKT3","0"
"APC2","0"
"ARAF","0"
"AXIN1","0"
"AXIN2","0.413665578668915"
"BAK1","0.40252878986632"
"BAX","0.402710778066438"
"BRAF","0"
"CCND1","0"
"CDK4","0"
"CDK6","0"
"CDKN1A","0"
"CSNK1A1L","0"
"CSNK1A1","0"
"CTNNB1","0"
"DDB2","0"
"DLL1","0.479036725132516"
"DLL3","0"
"DLL4","0"
"DVL1","0"
"DVL2","0"
"DVL3","0.42010630454981"
"E2F1","0.401380808155766"
"E2F2","0"
"E2F3","0.391343862212535"
"EGFR","0.473534403802605"
"EGF","0"
"ESR2","0"
"FGF10","0"
"FGF16","0"
"FGF17","0.612264310958897"
"FGF19","0"
"FGF1","0.628215718212544"
"FGF20","0"
"FGF21","0"
"FGF22","0"
"FGF23","0"
"FGF2","0.448091561782017"
"FGF3","0"
"FGF4","0"
"FGF6","0"
"FGF7","0"
"FGF8","0"
"FGF9","0.389549236659886"
"FGFR1","0.451568609095654"
"FLT4","0"
"FOS","0"
"FRAT1","0"
"FRAT2","0"
"FZD10","0"
"FZD1","0"
"FZD2","0.418682197276509"
"FZD3","0"
"FZD4","0"
"FZD5","0"
"FZD6","0"
"FZD7","0.466614603466132"
"FZD8","0"
"FZD9","0"
"GADD45A","0"
"GADD45B","0"
"GADD45G","0"
"GRB2","0"
